id,direction around car 1,direction around car 2,average speed,average distance to car 1,average distance to car 2,smallest distance to car 1,smallest distance to car 2
1,left,left,5.08,10.76,11.32,2.17,1.95
2,right,right,7.25,9.56,10.51,1.95,2.02
3,right,right,7.45,10.57,11.26,2.12,1.94
4,left,left,8.11,9.94,11.26,1.75,1.94
5,left,left,7.59,9.97,11.19,2.35,2.11
6,right,right,7.92,9.61,10.87,1.99,2.18
7,right,right,6.52,10.31,12.84,1.68,1.49
8,left,left,7.42,9.2,10.02,2.07,2.22
9,left,left,6.57,9.85,9.98,2.08,2.17
10,left,left,7.21,9.78,10.47,1.74,2.15
11,right,right,3.55,7.04,13.04,3.02,9.02
12,behind,behind,3.55,7.04,13.04,3.02,9.02
13,behind,behind,7.25,9.66,10.49,1.76,1.97
14,right,right,5.28,8.49,8.97,2.35,1.53
15,right,right,5.28,8.49,8.97,2.35,1.53
16,behind,behind,8.27,10.43,12.71,2.67,2.54
17,behind,behind,8.27,10.43,12.71,2.67,2.54
18,behind,behind,8.27,10.43,12.71,2.67,2.54
19,left,left,7.22,9.41,9.9,2.05,2.34
20,left,left,7.22,9.41,9.9,2.05,2.34
21,left,left,7.22,9.41,9.9,2.05,2.34
22,behind,behind,7.23,10.92,13.18,1.7,1.69
23,right,right,7.23,10.92,13.18,1.7,1.69
24,right,right,7.23,10.92,13.18,1.7,1.69
25,left,left,6.19,9.86,9.15,2.47,2.53
26,behind,behind,4.17,8.91,14.91,3.9,9.9
27,left,left,7.17,10.76,10.82,1.62,1.62
